Instruction_Time,Tipo,actividad,HRI_strategy,paso_actividad
2.959,3d,5,6,5
3.875,3d,5,6,6
2.542,3d,5,6,7
8.167,3d,5,6,8
2.25,3d,5,6,9
7.968,combinacion 1-5,5,7,1
10.464,combinacion 1-5,5,7,2
9.624,combinacion 1-5,5,7,3
7.416,combinacion 1-5,5,7,4
8.688,combinacion 1-5,5,7,5
16.896,combinacion 1-5,5,7,6
20.438,combinacion 1-5,5,7,7
37.718,combinacion 1-5,5,7,8
8.76,combinacion 1-5,5,7,9
16.224,combinacion 3-5,5,8,1
16.152,combinacion 3-5,5,8,2
14.808,combinacion 3-5,5,8,3
11.664,combinacion 3-5,5,8,4
14.064,combinacion 3-5,5,8,5
18.48,combinacion 3-5,5,8,6
20.438,combinacion 3-5,5,8,7
37.718,combinacion 3-5,5,8,8
12.192,combinacion 3-5,5,8,9
7.968,combinacion 1-6,5,9,1
10.464,combinacion 1-6,5,9,2
9.624,combinacion 1-6,5,9,3
7.416,combinacion 1-6,5,9,4
8.688,combinacion 1-6,5,9,5
10.584,combinacion 1-6,5,9,6
6.144,combinacion 1-6,5,9,7
11.304,combinacion 1-6,5,9,8
8.76,combinacion 1-6,5,9,9
